DateTime,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,DEALNUM,CHG,PCT_CHG,SWING
2017/12/27,3306.1246,3302.4612,3307.0798,3270.349,3275.7828,16267489000,1.98265E+11,NaN,-30.3418,-0.917745,1.110993
2017/12/28,3275.7828,3272.2913,3304.0962,3263.7282,3296.3847,17537167000,2.0802E+11,NaN,20.6019,0.628915,1.232316
2017/12/29,3296.3847,3295.2461,3308.2249,3292.7699,3307.1721,14158683600,1.70357E+11,NaN,10.7874,0.327249,0.468847
2018/1/2,3307.1721,3314.0307,3349.053,3314.0307,3348.3259,20227886000,2.27788E+11,NaN,41.1538,1.24438,1.05898
2018/1/3,3348.3259,3347.7428,3379.9152,3345.2887,3369.1084,21383614900,2.58367E+11,NaN,20.7825,0.620683,1.034144
2018/1/4,3369.1084,3371,3392.8264,3365.2954,3385.7102,20695528800,2.43091E+11,NaN,16.6018,0.492765,0.81716
2018/1/5,3385.7102,3386.464,3402.0694,3380.245,3391.7501,21306068100,2.48188E+11,NaN,6.0399,0.178394,0.644603
2018/1/8,3391.7501,3391.5528,3412.7307,3384.5591,3409.4795,23616510600,2.86213E+11,NaN,17.7294,0.522721,0.830592
2018/1/9,3409.4795,3406.1116,3417.2278,3403.5869,3413.8996,19148855100,2.3825E+11,NaN,4.4201,0.129641,0.400087
2018/1/10,3413.8996,3414.1128,3430.2139,3398.8423,3421.8343,20909499700,2.54515E+11,NaN,7.9347,0.232423,0.918937
2018/1/11,3421.8343,3415.585,3426.4829,3405.639,3425.3449,17381213300,2.18414E+11,NaN,3.5106,0.102594,0.609144
2018/1/12,3425.3449,3423.8793,3435.4239,3417.9802,3428.9407,17406340400,2.15961E+11,NaN,3.5958,0.104976,0.509254
2018/1/15,3428.9407,3428.9508,3442.5008,3402.312,3410.4882,23200928300,2.86363E+11,NaN,-18.4525,-0.53814,1.172047
2018/1/16,3410.4882,3403.4694,3437.5827,3401.9606,3436.594,21147546800,2.66579E+11,NaN,26.1058,0.765456,1.044487
2018/1/17,3436.594,3438.5762,3465.2049,3430.5114,3444.6713,26104503000,3.16533E+11,NaN,8.0773,0.235038,1.009532
2018/1/18,3444.6713,3449.881,3476.546,3448.7885,3474.754,22003955500,2.67693E+11,NaN,30.0827,0.873311,0.80581
2018/1/19,3474.754,3481.62,3498.4341,3474.2915,3487.864,24753673300,2.94189E+11,NaN,13.11,0.377293,0.6948
2018/1/22,3487.864,3476.9939,3503.3857,3475.673,3501.3622,21748753400,2.61296E+11,NaN,13.4982,0.387005,0.794546
2018/1/23,3501.3622,3504.3439,3547.2222,3504.3439,3546.5048,23870590400,2.82092E+11,NaN,45.1426,1.289287,1.224618
2018/1/24,3546.5048,3553.4787,3569.4891,3527.1119,3559.4653,25295449600,3.07629E+11,NaN,12.9605,0.365444,1.1949
2018/1/25,3559.4653,3555.1677,3571.4805,3528.0349,3548.307,24341342200,2.8799E+11,NaN,-11.1583,-0.313482,1.220565
2018/1/26,3548.307,3535.4931,3574.9048,3534.1952,3558.1288,22269829500,2.5815E+11,NaN,9.8218,0.276802,1.147296
2018/1/29,3558.1288,3563.64,3587.0323,3510.2689,3523.0007,23602696500,2.85417E+11,NaN,-35.1281,-0.987263,2.157409
2018/1/30,3523.0007,3511.5005,3523.0513,3484.6556,3488.009,18636997500,2.24682E+11,NaN,-34.9917,-0.993236,1.089858
2018/1/31,3488.009,3470.5089,3495.4533,3454.7259,3480.8334,20725340300,2.42658E+11,NaN,-7.1756,-0.205722,1.16764
2018/2/1,3480.8334,3478.6701,3495.0933,3424.4188,3446.9799,26050470700,2.92882E+11,NaN,-33.8535,-0.972569,2.03039
2018/2/2,3446.9799,3419.2249,3463.1639,3388.8597,3462.0808,20812055100,2.36279E+11,NaN,15.1009,0.438091,2.155632
2018/2/5,3462.0808,3411.6698,3487.7211,3406.2405,3487.497,21767375400,2.52199E+11,NaN,25.4162,0.734131,2.353515
2018/2/6,3487.497,3418.01,3440.124,3364.2163,3370.652,28055547700,3.18819E+11,NaN,-116.845,-3.350397,2.176567
2018/2/7,3370.652,3412.7441,3425.5377,3304.007,3309.2598,26093971400,2.95264E+11,NaN,-61.3922,-1.821375,3.605555
2018/2/8,3309.2598,3281.0458,3307.1623,3225.7117,3262.0504,20126249900,2.22349E+11,NaN,-47.2094,-1.426585,2.461294
2018/2/9,3262.0504,3172.8509,3180.11,3062.7426,3129.8508,25638917600,2.72095E+11,NaN,-132.1996,-4.052654,3.597964
2018/2/12,3129.8508,3128.3709,3168.1258,3113.6054,3154.1254,15331083100,1.71003E+11,NaN,24.2746,0.775583,1.741949
2018/2/13,3154.1254,3176.1066,3219.2169,3176.1066,3184.9587,15152759700,1.72045E+11,NaN,30.8333,0.977555,1.366791
2018/2/14,3184.9587,3188.2475,3203.4967,3171.3836,3199.1589,10032282700,1.14552E+11,NaN,14.2002,0.445852,1.008274
2018/2/22,3199.1589,3237.5692,3269.9156,3234.1152,3268.5589,13873044500,1.57304E+11,NaN,69.4,2.16932,1.119057
2018/2/23,3268.5589,3275.429,3294.1338,3258.4878,3289.0241,14579036800,1.59503E+11,NaN,20.4652,0.626123,1.090572
2018/2/26,3289.0241,3307.295,3335.9856,3281.615,3329.5737,18856860200,2.13333E+11,NaN,40.5496,1.232876,1.653092
2018/2/27,3329.5737,3328.6719,3328.6719,3284.6293,3292.0679,17421936800,2.04394E+11,NaN,-37.5058,-1.126445,1.32277
2018/2/28,3292.0679,3264.0585,3277.8324,3239.8438,3259.408,15104353600,1.80234E+11,NaN,-32.6599,-0.992079,1.153943
2018/3/1,3259.408,3235.0887,3280.1491,3228.5848,3273.7549,15909832000,1.85278E+11,NaN,14.3469,0.440169,1.582014
2018/3/2,3273.7549,3248.4464,3269.9377,3242.2669,3254.5283,15086106300,1.78603E+11,NaN,-19.2266,-0.587295,0.845231
2018/3/5,3254.5283,3255.8713,3269.3999,3236.7172,3256.9263,14483598800,1.74149E+11,NaN,2.398,0.073682,1.004222
2018/3/6,3256.9263,3266.4868,3290.2534,3243.654,3289.6419,19535804600,2.24382E+11,NaN,32.7156,1.004493,1.430778
2018/3/7,3289.6419,3288.8645,3308.4063,3264.7639,3271.6683,16866501900,1.93489E+11,NaN,-17.9736,-0.546369,1.326661
2018/3/8,3271.6683,3268.3468,3289.4974,3261.5524,3288.4055,14982751900,1.75895E+11,NaN,16.7372,0.51158,0.854151
2018/3/9,3288.4055,3291.4258,3309.7153,3283.5591,3307.1656,16842450900,2.02349E+11,NaN,18.7601,0.570492,0.795407
2018/3/12,3307.1656,3319.2089,3333.5611,3313.5552,3326.6992,20653243600,2.47894E+11,NaN,19.5336,0.590645,0.604926
